,url,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
316997,https://vermont.craigslist.org/apa/d/burlington-3-bed-15-bath-south-end/7039826334.html,vermont,2500,apartment,1000,3,1.5,0,0,0,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00l0l_iqShPw7MbH1_600x450.jpg,"3 bed 1.5 bath south end burlington. One-level duplex with off-street parking and spacious backyard with area for gardening in the front yard. The neighborhood is family oriented and quiet. This rental is perfect for a small family, working professionals or grad students.   The home is located right off the bike path and walking distance to oakledge.   Details:  Private yard and driveway Laundry in unit Area for garden Huge basement for storage Quiet neighborhood  Utilities not included No pets.",44.483999999999995,-73.2199,vt
317003,https://vermont.craigslist.org/apa/d/studio-apartment-bright-and-airy/7033743835.html,vermont,900,apartment,345,1,1.0,1,1,0,0,0,0,no laundry on site,off-street parking,https://images.craigslist.org/00T0T_1CLa1VZYu9E_600x450.jpg,"Includes Wireless Internet, water, and trash.  Tenant pays propane heat and electric.  Bright and airy feeling with cathedral ceilings!  Rustic wooden beams  Technically this is a room for rent but it is effectively a separate studio with it's own entrance and totally separate from the house.  Full size fridge/freezer, kitchen sink, one burner stove/hotplate.  Full bathroom. There's a nice little second floor deck to sit on too.  Heat is propane",44.4971,-73.1255,vt
317028,https://vermont.craigslist.org/apa/d/south-burlington-1br-apt-for-rent/7032609836.html,vermont,1000,apartment,500,1,1.0,0,0,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00x0x_hQ6JIh8ZvzH_600x450.jpg,"I have a 1br apt located in the S. end of S. Burlington. -utils included (except cable/internet) May convert to a user paid Nat Gas Rinnai heater -Apt. is located in a mixed use building (commercial and residential) -apt is available 2/1/20 but could possibly be available 1/1/20   ABSOLUTELY NO PETS! NON-NEGOTIABLE! -12 month lease, first and security.  -We do extensive checks: Full background check, credit check, funds availability verification.",44.4238,-73.173,vt
317035,https://vermont.craigslist.org/apa/d/shelburne-1-bedroom/7046483381.html,vermont,1350,apartment,700,1,1.0,0,0,0,0,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/00R0R_6S8ZWaTd1Ws_600x450.jpg,"1 bedroom apartment, hardwood floors, eat in kitchen, off street parking.  Heat, Electricity, Cable, WIFI, trash removal included.  No Pets  -  No Smokers",44.39,-73.2171,vt
317306,https://vermont.craigslist.org/apa/d/woodford-rental-2-br-2-bath-full/7045489176.html,vermont,1300,apartment,1000,2,2.0,0,0,0,1,0,1,no laundry on site,off-street parking,https://images.craigslist.org/00K0K_2d4wFdXVGQG_600x450.jpg,"For rent in Woodford VT  2 Bedroom 2 Bathroom Unit w/Full kitchen and fully furnished  New Beds  Near Lakes, Walking Hiking trails, Green Mountain National Forest General store next door  Prospect Mountain Cross Country Skiing across the street 20 Minutes from Wilmington Mt Snow 10 Minutes from Bennington  Rental includes Heat, Cable TV and WiFi  Monthly $ 1300.00  Long or Short Term  Ask about yearly or seasonal Rental   Call me or text @  show contact info  Larry Woodford , Wilmington Mt Snow , Snowmobile , Skiing , Cross Country , Hiking, Biking, Vast",42.883,-73.1552,vt
317354,https://vermont.craigslist.org/apa/d/bennington-nice-upstairs-1-bdrm-apt/7045459831.html,vermont,825,apartment,600,1,1.0,0,0,0,0,0,0,no laundry on site,off-street parking,https://images.craigslist.org/01616_kMyA8UvlZ6o_600x450.jpg,"Upstairs, 1 bedroom apartment, newer kitchen with stove and frig, full bath, sunny living room, bath with leg tub & shower, pantry, good closet storage, hardwood floors, porch, 2 stairway entrances, 1 with hall way storage area. heat & trash removal included, off street parking, 2 blocks to downtown.  No pets, non smoking.    Required to move in: Rent, Security, & Last months Rent, Tenant Application, References",42.876999999999995,-73.1912,vt
317502,https://vermont.craigslist.org/apa/d/white-river-junction-97-manning-dr/7051208567.html,vermont,600,apartment,400,1,1.0,1,1,1,0,0,0,,,https://images.craigslist.org/00t0t_dkTKltXIJVn_600x450.jpg,"Nice clean 1 bedroom unit available right away for rent within 10 minutes of Hanover on the bus route. Tenant pays half the heat/oil, electric, cable, trash, propane for cooking. Hardwood floors, fresh paint eat in kitchen washer and dry are on site.",43.6722,-72.3813,vt
317532,https://vermont.craigslist.org/apa/d/shelburne-barstow-rd-shelburne-vt/7051207072.html,vermont,900,apartment,1200,3,2.0,1,1,1,0,0,0,,,https://images.craigslist.org/00N0N_hvgrh9w96wz_600x450.jpg,"One level home, nestled off of Dorset St, was completely renovated in 2014 and has all wood flooring, granite counter tops, stainless steel appliances, energy efficient window & heat system. This 1200 square foot space is has an open concept floor plan. 2 baths, 3 bedrooms",44.39,-73.2171,vt
317549,https://vermont.craigslist.org/apa/d/saint-albans-apt-for-rent-on-best/7051194754.html,vermont,1300,apartment,1000,2,1.5,1,1,0,0,0,0,,off-street parking,https://images.craigslist.org/00b0b_4fI05CeAtPR_600x450.jpg,"Two-bedroom apartment in Victorian building on High Street (on the hill). Light and very quiet. Walk to town. Large windows. Set back from road. Private entrance-ground floor. Nice grounds. Rent includes heat, water, garbage pick-up, off-street parking, lawn care and snow removal. Unfurnished. Pets accepted. $1300/month. First month's rent, security deposit. References and credit check required. Available February 1, 2020.",44.8167,-73.0777,vt
317601,https://vermont.craigslist.org/apa/d/burlington-redstone-237-winooski-ave/7044488719.html,vermont,1500,apartment,726,0,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/00909_7cnRIo8DhET_600x450.jpg,"AVAILABLE FEBRUARY 2020!  Modern Living in the Old North End at Maiden Lane!  Studio apartment with a den.  Beautiful wood plank flooring in the living room and kitchen with carpeting in the den.   - Energy Star rated appliances (stove, refrigerator and dish washer)  - Climate controlled with new, high-efficiency, heat pump technology (Heat/AC) - Optional Covered parking space, $50/month - Pet friendly! - Storage Available  Other amenities include a rooftop deck, elevator access for each floor, common area laundry, and a yoga studio in the base level!  Become a part of the vibrant, evolving Old North End of Burlington! So much to offer in this mixed-use district. Great restaurants and boutique shops with a humble neighborhood-oriented feel.",44.4868,-73.2096,vt
317701,https://vermont.craigslist.org/apa/d/rutland-2-bedroom-apartment/7050853081.html,vermont,850,apartment,962,2,1.0,0,0,0,0,0,0,,off-street parking,https://images.craigslist.org/00Z0Z_6yk8BtV8erZ_600x450.jpg,"First floor apartment adjacent to CCV.  Freshly painted, steam cleaned carpet.  Water and sewer included with rent.   Heat, Electric and Trash billed to Tenant.  Application form and references required.  1 year lease.  $850 deposit.  No pets. No smoking.  Photos of unit taken while occupied - apartment comes unfurnished other than appliances.",43.4128,-72.9906,vt
317726,https://vermont.craigslist.org/apa/d/west-dover-2-bedroom-apartment/7050816417.html,vermont,720,apartment,886,2,1.0,1,0,0,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00N0N_jTEDHblM6h7_600x450.jpg,"2 bedroom townhome available in West Dover.  Heat, hot water, snow removal and trash removal included. One year lease required and household must be income eligible.",42.9535,-72.8687,vt
317785,https://vermont.craigslist.org/apa/d/burlington-sunny-fully-furnished-1/7043552896.html,vermont,1400,apartment,900,1,1.0,1,1,0,0,0,1,w/d in unit,off-street parking,https://images.craigslist.org/00505_3lUw65k1lVA_600x450.jpg,"Sunny Fully Furnished 1 Bedroom 1 Bath Apartment with a nice view  Available now: Month-to-month lease available $1,400/month + $1,400 Deposit Income must be 3x rent or higher  Apartment: 3rd Floor, nice view 1 Parking space + lots of street parking Fully furnished Washer and Dryer Kitchen, plates, bowls, etc Off Street Parking WiFi TV Porch Heat/Air Conditioning Wonderful neighborhood Near cafes and restaurants 20 min walk to Church Street 2 miles from UVM Medical Center",44.4867,-73.2122,vt
317839,https://vermont.craigslist.org/apa/d/milton-spacious-duplex-with-deck/7045268008.html,vermont,1400,duplex,1200,2,1.5,1,1,0,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00j0j_7vTO8IaYYR_600x450.jpg,"This beautiful duplex is ready for occupancy.   There is a huge deck off of the back of the unit.  Inside there is large kitchen and dining with a half bath attached. You will find a coat closet at the bottom of the stairs as well a spacious living room. Upstairs there is a full bath with washer and dryer hookups (stackable). In the hallway there is a linen closet situated between the two huge bedrooms, The closets are amazing!   Tenant is responsible for all utilities, landlord does the plowing and lawn maintenance.  Call, text or email for more information or to schedule a showing.",44.6242,-73.1331,vt
317854,https://vermont.craigslist.org/apa/d/stowe-2-story-3-bedroom-15-bath-in-stowe/7050526821.html,vermont,1500,apartment,1400,3,1.5,0,0,0,0,0,0,,,https://images.craigslist.org/00p0p_4O442EbWi6n_600x450.jpg,"2 story 3 bedroom, 1.5 bathroom apartment available for rent.  $1500/month and deposit plus utilities.  Call Jerry for an appointment.",44.4695,-72.6923,vt
317885,https://vermont.craigslist.org/apa/d/winooski-4-bed-2-bath-house-beautiful/7047021526.html,vermont,3100,house,1800,4,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00q0q_hiUSQ62dWlc_600x450.jpg,"Text J.P. to arrange viewing:  show contact info   PERFECT FAMILY SETTING! 4 Bedrooms + Living room, Kitchen, and Den 2 Bathrooms (bathtub with JET MASSAGE!) Hardwood and Tile floors throughout Closet space galore! Attic and basement Storage! Basement workshop! Quiet tree-lined street Washer, Dryer, Dishwasher and Microwave. 2 off-street parking spots Multiple on-street parking spots Front, side and back yards WITH DECK Close to everything! Recently updated and repainted",44.4952,-73.1745,vt
317984,https://vermont.craigslist.org/apa/d/south-burlington-beacon-row-town-homes/7043547256.html,vermont,1750,townhouse,1500,2,2.0,1,1,0,0,0,0,w/d hookups,attached garage,https://images.craigslist.org/01515_4ASzYSzvcbG_600x450.jpg,"Beacon Row is located in a great location in the heart of South Burlington. Just a quarter mile from Trader Joes & Healthy Living, half a mile from South Burlington Schools and 5 miles to downtown Burlington. Beacon Row Town Homes provide convenient, maintenance free living. Each unit has two bedrooms and two bathrooms, 1 car garage, back deck, gas fireplace, open living/kitchen with breakfast bar, west facing windows with lots of sunlight and nice finishes.",44.4615,-73.1804,vt
318003,https://vermont.craigslist.org/apa/d/montpelier-furnished-1-br-72-east-state/7042581961.html,vermont,1400,apartment,650,1,1.0,1,1,0,0,0,1,laundry in bldg,off-street parking,https://images.craigslist.org/00z0z_cLUDs7D9hKn_600x450.jpg,"Montpelier furnished 1 BR apartment on second floor.  $1400 monthly includes furniture, pots and pans, flatware, dishes and linens.  Rent includes all utilities, even TV and WI-FI.  Coin op laundry and storage in cellar.  Lease can be for a fixed term or month to month with 30 days notice to vacate.",44.258,-72.5703,vt
318079,https://vermont.craigslist.org/apa/d/burlington-burlington-4-bedroom/7032219019.html,vermont,2400,apartment,1050,4,1.0,1,1,0,0,0,0,no laundry on site,off-street parking,https://images.craigslist.org/00O0O_rymhCOZ744_600x450.jpg,"Large 4 bedroom apartment in ""The Pink House"", on the bus line, next door to laundromat and Pho Hong. Hardwood flooring, new windows, very well insulated, so heating it is inexpensive. There's a great porch out front and a shared back yard with raised garden beds. Gas water heater, forced air heating in every room, gas stove. Easy walk to UVM and downtown. Available June 1,2020  $2,400.",44.4883,-73.2075,vt
318322,https://vermont.craigslist.org/apa/d/mount-holly-adironadack-home-retreat/7038900375.html,vermont,13500,house,2500,5,2.5,0,0,0,0,0,1,w/d in unit,off-street parking,https://images.craigslist.org/00v0v_5bHA155rE7b_600x450.jpg,"Beautiful fully furnished home available for Winter ski/snowmobile season! Sleeps up to 14! Complete with linens and everything needed to enjoy the Green Mountain Getaway! 5 BR - 2 1/2 Baths, W/D, Full open kitchen, pellet stove, finished basement with wet bar, tournament pool table, 1/2 bath, large, cozy TV area.  Views  of Okemo Mountain.  Located on VAST snowmobile trail.  Flat screen TV, WiFi.  Close to dining, shopping, hiking, etc.  Located miles from Okemo Mountian.  No pets or smoking please. Available for season rental.  Call or text Nikki at  show contact info .",43.4426,-72.8095,vt
318330,https://vermont.craigslist.org/apa/d/montpelier-2br-for-legislative-session/7048984349.html,vermont,1195,apartment,1000,2,1.0,0,0,1,0,0,1,w/d hookups,off-street parking,https://images.craigslist.org/00w0w_fNKlKM0gyxa_600x450.jpg,"Bright, spacious two-bedroom, two-floor apartment in a Victorian house conveniently located one block from Main Street on a hill overlooking Montpelier. Kitchen, living room, and dining room downstairs, both bedrooms upstairs. Front and back yard available for gardening projects. Washer and dryer in basement directly accessible from the unit. The other tenants and neighbors are extremely friendly and make a nice community.   Available furnished, partly furnished, or unfurnished for the legislative session (6 mo's), or can be rented permanently on an annual basis. Landlord pays for water, sewer, trash, and recycling--tenant pays other utilities. Good references required!",44.2585,-72.5713,vt
318356,https://vermont.craigslist.org/apa/d/pittsford-two-bedroom-apartment/7048957693.html,vermont,1200,apartment,1100,2,1.0,1,1,0,1,0,0,laundry on site,off-street parking,https://images.craigslist.org/00M0M_7ahw50TmKPM_600x450.jpg,Beautiful private ground floor two bedroom apartment with fireplace. heat garbage plowing and lawn care included. small pets allowed with approval and a pet deposit.  $1200.00 per month rent  a $1200.00 deposit and the first months rent will be due at lease signing  $ Landry on site. contact John At  show contact info  to schedule a showing,43.7729,-73.0524,vt
318363,https://vermont.craigslist.org/apa/d/randolph-large-2-bdrm-incl-heat/7032406876.html,vermont,1145,apartment,1050,2,1.0,0,0,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00L0L_ecirmYBIzLY_600x450.jpg,"Think of it, you'll be first to get your mail.  The US POST OFFICE is below!  Just minutes to Gifford, VTC, downtown Randolph and I-89.   13 miles from Vermont Law School.   E. Randolph is close to the geographic center of the state of Vermont.  Two bedrooms, HUGE dining room, HUGE living room, HUGE AMOUNT OF LIGHT.  FINE NEIGHBORS.   Heat, hot water, rubbish and plowing included!     HUGEST fields out back, brook too!    A few minutes off I-89, Exit 4.    Lease, sec./refs. required.      FOR MORE INFO.... Contact us through this link: www.Fergessen.com/rentalconfigurator     Much thanks!",43.9393,-72.5538,vt
318394,https://vermont.craigslist.org/apa/d/fairfax-open-house-jan-4th-1pm-to-3pm-2/7048721486.html,vermont,800,house,1200,2,1.5,1,1,0,1,1,1,w/d in unit,attached garage,https://images.craigslist.org/00R0R_3GoqkMPkvqH_600x450.jpg,OPEN HOUSE - JAN 4TH 1pm to 3pm - 2 bed/1.5 bath.,44.6963,-73.0211,vt
318437,https://vermont.craigslist.org/apa/d/bennington-bennington-studio-apartment/7048695752.html,vermont,700,apartment,450,0,1.0,0,0,0,0,0,0,,off-street parking,https://images.craigslist.org/00000_esQg2ayJ7Pm_600x450.jpg,"Pretty studio apartment to rent. Hardwood floors. Middle of Bennington, near hospital, SVC, in peaceful setting. Landlord lives next door. $700/mo plus electric. Heat, trash removal, offstreet parking one car, wireless internet included. 1st/Last/Security and references needed.",42.8779,-73.2109,vt
318447,https://vermont.craigslist.org/apa/d/2-bedroom-farmhouse-apartment/7046496907.html,vermont,1195,apartment,1100,2,1.0,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00o0o_jjk9ZpmYjho_600x450.jpg,"Two bedroom Farmhouse apartment on Route 7 in North Ferrisburg.  The first floor has a large eat-in kitchen with dishwasher, a Dining room with original built-in china cabinet, a Living room with electric fireplace, Laundry room,  Efficient OHA heating, and Western facing sun room and deck with views of the Adirondacks and sunsets.    Upstairs is the Master bedroom with wide board wood floors and closet, and the Office space or smaller bedroom.    Outside is a Fenced in dog yard , and room for a garden.  This is a smoke-free property.  $1195 per month + utilities. Lease, references and deposit.   Call Barbara at 31O-0977.",44.2536,-73.22800000000001,vt
318460,https://vermont.craigslist.org/apa/d/essex-junction-two-bedroom-2-bath-essex/7031898663.html,vermont,1675,apartment,1000,2,2.0,1,1,0,1,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/00D0D_gpQ9YePcCLv_600x450.jpg,"5 Corners Apartments located at the Five Corners in Essex Junction VT is available Now. 5 Corners is a true neighborhood location, centrally located in the heart of Essex Junction. 5 Corners is within walking distance to restaurants, shopping, grocery stores, and other businesses and services. Its central location allows easy access to 1-89 and is only minutes to the airport and the hospital. Downtown Burlington is only a short drive away.  This like new apartments features 2 bedroom 2 bath  priced at $1675 This unit is spacious and bright with 9ft ceilings that allow the natural light to flow in. You will love living in this ideal setting with everything you need right at your doorstep.  Property Features:  - Bright and Spacious units in the heart of Five Corners, Essex - 9' Ceilings with lots of closet space and storage - Dishwasher, Microwave, Disposal, Refrigerator - Upgraded Kitchen with granite counters and Stainless Steel Appliances - Underground/Covered parking (most units) - Central Air - Hardwood Flooring - Bathrooms with Tile Floors - Wall to Wall Carpet in Bedrooms - Laundry Facilities on premises - Terraced balconies on select units with amazing views of the Green Mountains  Community Features:  - Ideally located close to I-89, Burlington, Airport , Hospital and University - Shopping and all Services within walking distance - Underground or covered parking - Near public transit - Elevator - Retail Services on First Floor of building (restaurants etc)   Visit www.5cornersessex.com for more information and to see floor plans and pricing of each available unit. Don't miss this fabulous opportunity to live in this amazing complex.  Our professional management staff can be contacted at  show contact info",44.4906,-73.111,vt
318471,https://vermont.craigslist.org/apa/d/burlington-studio-apartment-hill-section/7048232558.html,vermont,1250,apartment,600,1,1.0,0,0,0,0,0,1,w/d in unit,off-street parking,https://images.craigslist.org/00w0w_haffwQ0243i_600x450.jpg,"Fully furnished apt. With off street parking. 48 inch TV with cable and WiFi. Washer/dryer in unit. Stove/oven, microwave and full size refrigerator. Private walk in. All utilities are included.",44.483999999999995,-73.2199,vt
318489,https://vermont.craigslist.org/apa/d/williston-mansfield-apartments/7021095791.html,vermont,1450,apartment,850,1,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00L0L_gjW45LJbbSD_600x450.jpg,"Close to I-89 and shopping. Mansfield Apartments will be Willistonâs newest apartments.  These 1 bedroom units will have 9 ft ceilings, Cortex wood flooring, tiled baths, stainless appliances, decks, AC, WD in every unit and large private storage rooms.   It is located in the Hamlet close to Taft Corners. Heat and Hot Water included.  Prices starting at $1,450  Call to reserve your apartment for the end of summer.",44.4552,-73.1095,vt
318578,https://vermont.craigslist.org/apa/d/willsboro-beautiful-2br-furnished-condo/7038486882.html,vermont,1750,apartment,1500,2,2.0,0,1,1,0,0,1,w/d in unit,off-street parking,https://images.craigslist.org/01717_dP3BEVyQDBg_600x450.jpg,"Beautiful 2BR 2BA furnished condo; 1500 sq ft.  Contemporary architect-designed; post & beam; hardwood floors, rustic wood ceilings;  Off-street parking;  Floor to ceiling windows look  out on to gorgeous forest setting;  walk to Lake Champlain, parks, shopping and bike trails.   NOTE: MINIMUM SIX MONTH  RENTAL",44.3933,-73.3447,vt
318605,https://vermont.craigslist.org/apa/d/saint-albans-new-construction-2-bedroom/7038370433.html,vermont,1400,apartment,850,2,0.0,1,1,1,0,0,0,,off-street parking,https://images.craigslist.org/00u0u_lGlzRL7K7bW_600x450.jpg,I have 2-two bedroom units left and 2-one bedroom units left. Itâs a 8 unit building new construction. A one bedroom is 1200 nothing included and a two bedroom is 1400 nothing included. Call or txt  show contact info,44.8111,-73.089,vt
318610,https://vermont.craigslist.org/apa/d/winooski-amazing-winooski-3-bedroom/7042029012.html,vermont,1475,apartment,1000,3,1.0,1,1,0,0,0,0,w/d hookups,,https://images.craigslist.org/00r0r_jKysvkNchh3_600x450.jpg,"**Available now after application approval, with pro-rated first month's rent!**  PRICE RECENTLY REDUCED!  This large 1,000 sqft light filled unit offer 3 bedrooms with a large living space. Washer/Dryer hookups and plenty of storage. In addition, enjoy the private porch off the back of the home with view and access to the HUGE backyard.  Pet friendly some breed restrictions apply. Efficient gas heat makes these units even more affordable. You'll love the updated kitchen!  Tenants responsible for gas heat, electric and cable/internet.  This unit has a washer and dryer hook up right in the unit!  To view pictures, see more details, and to schedule a showing please go to www.fpmvt.com/rentals!  Watch the video here https://player.vimeo.com/video/373244006",44.4945,-73.1851,vt
318779,https://vermont.craigslist.org/apa/d/brattleboro-brattleboro-large-3-bdrm-apt/7050335735.html,vermont,1350,apartment,1375,3,1.0,0,0,0,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00z0z_tGPMgCCEdv_600x450.jpg,"Large 1st floor 3 bdrm apt in quiet neighborhood, recently renovated, within walking distance to downtown Brattleboro and Retreat Farm Trails. Pantry with washer/dryer.  Kitchen equipped with dishwasher & microwave.  Dining room  Large covered  front porch. Private fenced in covered porch/side yard provides entry  doors to  kitchen  and  to  the 2 back bedrooms,  which gives the back bdrms potential as  in-home office space. Rent: $1350/month includes heat & hot water, snowplowing, off street parking. Non-smoking building.  References, 1st month + 2 months security.  show contact info",42.8574,-72.5933,vt
